Name,Address,Rating [1-5],Price Level [1-4],Latitude,Longitude
Bistro46nyc,"300 W 46th St, New York, NY 10036",5,N/A,40.7598582,-73.988332
Family Meal at Blue Hill,"75 Washington Pl, New York, NY 10011",4.6,4,40.732024,-73.99968779999999
Tu Delicia Restaurant and Seafood,"1441 Edward L Grant Hwy, Bronx, NY 10452",4.5,2,40.8429448,-73.9232188
Los Amigos Restaurant,"674 E 180th St, Bronx, NY 10457",4.3,1,40.8482132,-73.8892747
Step In,"1309 Metropolitan Ave, Bronx, NY 10462",4.4,2,40.83388799999999,-73.8611919
Segovia Restaurant,"150 Moonachie Rd, Moonachie, NJ 07074",4.5,2,40.8400487,-74.0486246
Lhasa Fast Food,"76-03 37th Ave, Queens, NY 11372",4.4,1,40.7494096,-73.8897384
Manna's,"486 Malcolm X Blvd, New York, NY 10037",4,2,40.8133483,-73.9410958
La Barca Restaurant,"3892 Broadway, New York, NY 10032",4.1,1,40.8374464,-73.9420766
El Texano Restaurant,"2031 Westchester Ave, Bronx, NY 10462",4,2,40.8338347,-73.85664059999999
Cafe Colonial Restaurant,"2072 White Plains Rd, Bronx, NY 10462",4,2,40.8526076,-73.8673579
Ivy Inn Restaurant & Bar,"268 Terrace Ave, Hasbrouck Heights, NJ 07604",4.2,2,40.8609564,-74.0722062
Magna Restaurant,"35-25 Farrington St, Queens, NY 11354",4.3,2,40.763661,-73.831291
Caridad & Louie's Restaurant,"1660 E Gun Hill Rd, Bronx, NY 10469",4.2,2,40.865866,-73.83774799999999
Xochimilco Family Restaurant,"653 Melrose Ave, Bronx, NY 10455",4.4,1,40.818723,-73.9167879
Golden Grill Restaurant,"1379 Queen Anne Rd, Teaneck, NJ 07666",4.5,N/A,40.90097129999999,-74.0052874
Sabrosito Restaurant,"200 Baychester Avenue The Mall At Bay Plaza, Bronx, NY 10475",3.5,N/A,40.8643146,-73.8280935
Meyhane Turkish Restaurant,"3030 671 Palisade Ave, Cliffside Park, NJ 07010",4.4,N/A,40.82524919999999,-73.9832899
Las Mella's Restaurant,"1452 Westchester Ave, Bronx, NY 10472",3.7,1,40.8280506,-73.8821072
Andy's Restaurant,"2262 3rd Ave, New York, NY 10035",4.3,N/A,40.8025777,-73.936864
la estrella restaurant,"2051 Webster Ave, Bronx, NY 10457",4.5,N/A,40.8514649,-73.89903249999999
Morena II Restaurant,"935 E 163rd St, Bronx, NY 10459",4.5,N/A,40.821151,-73.896537
Samdan Mediterranean Restaurant,"178 Piermont Rd, Cresskill, NJ 07626",4.6,2,40.943218,-73.96207
Fiesta Lounge and Restaurant,"4640 3rd Ave., Bronx, NY 10458",4.2,N/A,40.8571594,-73.89090879999999
Larimar,"213 E 170th St, Bronx, NY 10456",3.8,N/A,40.8386263,-73.9130086
Steven Restaurant,"2233 Boston Rd, Bronx, NY 10467",3.9,2,40.858492,-73.8681398
El Valle Restaurant,"3535 Jerome Ave, Bronx, NY 10467",3.4,1,40.882734,-73.881726
Mado Restaurant,"570 Kinderkamack Rd, River Edge, NJ 07661",4.7,2,40.9269325,-74.0343424
Restaurant Cuisine Bar,"Briggs Ave, Bronx, NY 10458",0,N/A,40.8633256,-73.89399449999999
Laly's Restaurant & Agaveria,"75-19 Roosevelt Ave, Queens, NY 11372",4.4,2,40.747169,-73.8897051
G&S Restaurant And Lounge,"4386 White Plains Rd, Bronx, NY 10466",4.3,N/A,40.8980121,-73.8544658
Campos Grill,"256 Marcus Garvey Blvd, Brooklyn, NY 11221",4.8,N/A,40.6888334,-73.9394379
Teraza Restaurant Lounge,"825 Surf Ave Floor 2, Brooklyn, NY 11224",4.6,N/A,40.57558849999999,-73.977307
Don Chucho Bar and Restaurant,"300 E Jersey St, Elizabeth, NJ 07206",4.2,1,40.6519285,-74.1916694
O'Teimoso Restaurant,"854 2nd Ave, Elizabeth, NJ 07202",4.2,1,40.6591382,-74.2051335
El Tololoche mexican restaurant,"7201 16th Ave, Brooklyn, NY 11204",4.3,2,40.617876,-73.999
La Chonta Cevicheria Restaurant,"543 Elizabeth Ave, Elizabeth, NJ 07206",4.6,N/A,40.655508,-74.1991078
